SEXO,EDAD
Hombre,15
Hombre,19
Mujer,22
Mujer,11
Mujer,15
Hombre,19
Mujer,15
Mujer,20
Hombre,4
Mujer,25
Hombre,27
Mujer,17
Mujer,20
Mujer,22
Mujer,24
Hombre,5
Hombre,11
Hombre,11
Mujer,16
Mujer,20
Hombre,22
Hombre,20
Hombre,27
Mujer,18
Mujer,16
Hombre,21
Mujer,22
Hombre,19
Mujer,28
Mujer,24
Hombre,25
Mujer,9
Mujer,15
Hombre,24
Mujer,27
Mujer,8
Mujer,8
Mujer,28
Mujer,18
Hombre,24
Hombre,27
Hombre,5
Mujer,8
Mujer,16
Mujer,11
Mujer,12
Hombre,22
Hombre,22
Mujer,22
Hombre,19
Mujer,22
Mujer,25
Mujer,22
Mujer,7
Hombre,18
Mujer,27
Mujer,20
Mujer,25
Hombre,19
Hombre,18
Mujer,17
Mujer,11
Hombre,16
Mujer,18
Mujer,18
Mujer,20
Mujer,21
Mujer,4
Hombre,4
Hombre,15
Hombre,16
Mujer,7
Hombre,14
Hombre,17
Mujer,13
Hombre,17
Mujer,4
Mujer,22
Hombre,22
Mujer,4
Hombre,22
Mujer,24
Hombre,5
Hombre,7
Mujer,25
Hombre,28
Hombre,3
Mujer,5
Mujer,12
Mujer,15
Mujer,19
Mujer,21
Hombre,24
Hombre,15
Hombre,26
Hombre,10
Mujer,20
Hombre,4
Hombre,7
Hombre,16
Mujer,16
Mujer,23
Mujer,7
Mujer,11
Mujer,20
Mujer,9
Mujer,25
Hombre,7
Hombre,25
Mujer,20
Hombre,23
Hombre,4
Hombre,11
Mujer,29
Hombre,15
Mujer,17
Mujer,6
Hombre,23
Mujer,10
Hombre,15
Hombre,20
Hombre,21
Mujer,19
Hombre,5
Mujer,28
Mujer,9
Mujer,15
Mujer,17
Hombre,20
Mujer,19
Hombre,4
Mujer,5
Mujer,21
Hombre,24
Hombre,3
Mujer,11
Mujer,13
Hombre,15
Mujer,18
Mujer,10
Hombre,12
Mujer,17
Hombre,20
Mujer,6
Mujer,7
Mujer,8
Hombre,16
Hombre,9
Hombre,24
Mujer,29
Hombre,11
Mujer,22
Hombre,24
Mujer,3
Hombre,8
Mujer,15
Mujer,25
Mujer,22
Hombre,7
Mujer,15
Mujer,19
Hombre,8
Mujer,11
Mujer,14
Mujer,10
Hombre,16
Mujer,25
Hombre,27
Hombre,7
Mujer,5
Hombre,6
Mujer,25
Hombre,25
Mujer,4
Hombre,15
Hombre,20
Hombre,15
Hombre,22
Hombre,25
Hombre,6
Hombre,8
Mujer,27
Hombre,12
Hombre,11
Mujer,17
Mujer,19
Hombre,11
Mujer,15
Hombre,14
Hombre,3
Hombre,14
Mujer,17
Hombre,14
Hombre,28
Hombre,24
Mujer,25
Hombre,27
Hombre,25
Hombre,26
Hombre,7
Mujer,9
Mujer,29
Hombre,11
Hombre,7
Mujer,21
Hombre,29
Mujer,9
Hombre,10
Mujer,15
Mujer,16
Mujer,15
Hombre,20
Hombre,18
Mujer,10
Hombre,9
Hombre,13
Hombre,11
Mujer,20
Mujer,21
Hombre,22
Mujer,21
Hombre,22
Hombre,4
Mujer,12
Hombre,19
Mujer,21
Hombre,9
Hombre,28
Mujer,5
Hombre,10
Mujer,29
Hombre,29
Hombre,16
Hombre,21
Mujer,19
Mujer,21
Hombre,22
Hombre,28
Hombre,4
Mujer,9
Mujer,27
Hombre,8
Mujer,26
Hombre,5
Hombre,6
Hombre,11
Hombre,6
Mujer,12
Mujer,23
Hombre,27
Mujer,3
Mujer,6
Hombre,10
Mujer,9
Hombre,10
Hombre,14
Hombre,19
Mujer,21
Mujer,26
Mujer,17
Mujer,18
Hombre,28
Hombre,28
Hombre,28
Hombre,13
Hombre,14
Mujer,10
Mujer,29
Mujer,3
Mujer,16
Hombre,26
Hombre,16
Mujer,25
Hombre,28
Mujer,20
Hombre,27
Hombre,29
Hombre,3
Hombre,5
Hombre,21
Mujer,26
Hombre,28
Hombre,22
Mujer,23
Hombre,3
Hombre,17
Hombre,4
Hombre,5
Hombre,6
Hombre,8
Mujer,18
Mujer,17
Mujer,28
Hombre,17
Hombre,26
Mujer,22
Hombre,21
Hombre,24
Hombre,8
Hombre,10
Mujer,14
Mujer,21
Hombre,18
Hombre,25
Hombre,20
Hombre,21
Hombre,9
Mujer,17
Mujer,19
Mujer,10
Mujer,14
Hombre,28
Mujer,28
Mujer,14
Hombre,16
Hombre,4
Hombre,8
Mujer,9
Mujer,12
Mujer,27
Mujer,17
Hombre,8
Hombre,12
Hombre,23
Mujer,8
Hombre,10
Hombre,16
Mujer,27
Hombre,20
Mujer,25
Mujer,26
Mujer,15
Hombre,23
Hombre,25
Mujer,25
Mujer,3
Mujer,12
Mujer,24
Hombre,27
Hombre,28
Mujer,24
Hombre,25
Mujer,25
Mujer,18
Hombre,21
Hombre,23
Mujer,13
Hombre,14
Mujer,20
Mujer,25
Hombre,28
Mujer,12
Hombre,19
Hombre,5
Hombre,7
Hombre,19
Hombre,24
Mujer,25
Hombre,11
Mujer,4
Hombre,13
Hombre,8
Mujer,11
Hombre,12
Mujer,25
Hombre,25
Mujer,18
Hombre,25
Hombre,28
Hombre,21
Mujer,23
Mujer,21
Hombre,25
Mujer,21
Hombre,5
Mujer,15
Hombre,12
Hombre,19
Hombre,27
Mujer,20
Mujer,9
Hombre,22
Hombre,21
Hombre,23
Mujer,16
Hombre,18
Hombre,21
Mujer,24
Hombre,25
Hombre,5
Hombre,9
Mujer,17
Hombre,6
Hombre,17
Mujer,19
Mujer,3
Hombre,8
Hombre,19
Mujer,25
Hombre,28
Mujer,9
Hombre,11
Mujer,27
Hombre,4
Mujer,10
Hombre,12
Hombre,14
Hombre,18
Mujer,10
Hombre,14
Mujer,19
Hombre,20
Hombre,29
Hombre,16
Hombre,4
Mujer,15
Hombre,17
Hombre,21
Mujer,22
Hombre,23
Hombre,26
Mujer,6
Hombre,8
Hombre,28
Mujer,28
Hombre,22
Hombre,5
Mujer,25
Mujer,12
Hombre,15
Mujer,18
Hombre,22
Hombre,9
Hombre,28
Mujer,29
Hombre,18
Hombre,28
Mujer,18
Hombre,5
Mujer,6
Hombre,13
Mujer,15
Mujer,4
Hombre,12
Mujer,15
Hombre,8
Hombre,12
Hombre,15
Hombre,20
Hombre,17
Hombre,18
Hombre,27
Hombre,4
Mujer,9
Mujer,4
Mujer,6
Hombre,11
Mujer,13
Hombre,16
Mujer,6
Mujer,8
Mujer,29
Hombre,23
Mujer,5
Mujer,9
Hombre,11
Mujer,24
Mujer,28
Mujer,11
Hombre,15
Hombre,23
Hombre,25
Mujer,8
Hombre,23
Mujer,27
Hombre,28
Mujer,28
Mujer,5
Mujer,23
Hombre,28
Hombre,25
Mujer,4
Hombre,21
Mujer,22
Hombre,17
Hombre,22
Mujer,23
Mujer,3
Hombre,6
Mujer,20
Mujer,22
Hombre,27
Hombre,12
Hombre,18
Hombre,6
Hombre,10
Mujer,19
Hombre,23
Mujer,23
Mujer,4
Hombre,8
Mujer,25
Mujer,7
Hombre,9
Mujer,7
Mujer,9
Hombre,15
Hombre,23
Hombre,18
Mujer,19
Mujer,21
Hombre,19
Hombre,16
Mujer,22
Hombre,4
Mujer,18
Hombre,19
Mujer,24
Mujer,27
Hombre,29
Hombre,14
Hombre,27
Mujer,3
Hombre,11
Mujer,27
Hombre,28
Hombre,9
Hombre,14
Hombre,23
Mujer,10
Hombre,23
Hombre,27
Mujer,11
Mujer,17
Mujer,17
Mujer,4
Hombre,9
Hombre,3
Mujer,13
Mujer,23
Hombre,24
Hombre,4
Hombre,10
Hombre,13
Mujer,6
Hombre,8
Mujer,27
Mujer,5
Hombre,14
Hombre,18
Hombre,7
Mujer,18
Hombre,18
Hombre,19
Mujer,5
Mujer,17
Mujer,23
Hombre,24
Mujer,13
Hombre,17
Hombre,22
Mujer,24
Mujer,4
Mujer,23
Hombre,24
Mujer,12
Hombre,20
Mujer,23
Mujer,25
Hombre,5
Mujer,7
Mujer,12
Hombre,13
Hombre,8
Hombre,10
Hombre,12
Hombre,5
Hombre,7
Mujer,10
Mujer,26
Hombre,10
Mujer,6
Mujer,11
Hombre,16
Mujer,22
Mujer,24
Hombre,14
Mujer,12
Hombre,18
Hombre,10
Hombre,17
Mujer,17
Hombre,18
Mujer,19
Mujer,26
Hombre,15
Hombre,19
Hombre,17
Mujer,20
Hombre,12
Mujer,15
Hombre,19
Hombre,24
Hombre,21
Mujer,24
Hombre,10
Mujer,15
Hombre,21
Hombre,20
Hombre,27
Mujer,3
Mujer,22
Hombre,23
Mujer,26
Hombre,27
Hombre,18
Hombre,8
Mujer,8
Mujer,4
Mujer,6
Mujer,7
Hombre,11
Hombre,5
Hombre,18
Mujer,26
Hombre,4
Mujer,6
Mujer,7
Mujer,28
Hombre,29
Hombre,12
Mujer,9
Mujer,11
Mujer,15
Mujer,16
Hombre,20
Hombre,20
Hombre,20
Mujer,14
Mujer,22
Mujer,26
Hombre,13
Mujer,19
Mujer,3
Mujer,5
Hombre,9
Hombre,12
Mujer,18
Hombre,24
Hombre,4
Hombre,12
Hombre,20
Mujer,20
Mujer,16
Hombre,18
Mujer,20
Mujer,3
Mujer,19
Hombre,27
Hombre,12
Hombre,14
Hombre,10
Hombre,14
Hombre,29
Mujer,29
Hombre,15
Hombre,15
Mujer,17
Hombre,8
Hombre,27
Hombre,14
Mujer,21
Hombre,18
Hombre,20
Hombre,28
Hombre,12
Mujer,17
Mujer,23
Mujer,4
Mujer,7
Mujer,27
Hombre,10
Hombre,18
Mujer,9
Mujer,25
Mujer,27
Hombre,4
Mujer,14
Mujer,17
Mujer,18
Mujer,20
Hombre,5
Mujer,9
Hombre,28
Mujer,29
Mujer,5
Mujer,10
Mujer,22
Mujer,15
Mujer,19
Mujer,21
